,0,1
0,0,0.9500683874171744
1,1,0.9046793663335935
2,2,0.8600778803144942
3,3,0.8206823953077038
4,4,0.7793531415872967
5,5,0.7434963373931329
6,6,0.7026208032972985
7,7,0.6704923997872491
8,8,0.6367597476773162
9,9,0.6046053702782342
10,10,0.5759509924747113
11,11,0.5435164161474564
12,12,0.5244940068345284
13,13,0.5005948089495628
14,14,0.4755283898311384
15,15,0.4514784796882776
16,16,0.42720076029094
17,17,0.4081311247993954
18,18,0.3896427972081173
19,19,0.365454170316599
20,20,0.350869633087551
21,21,0.3360158850861013
22,22,0.31780828319043924
23,23,0.2975281305862517
24,24,0.28646037201066515
25,25,0.272779717690239
26,26,0.25933749925557636
27,27,0.24681510053084288
28,28,0.23752659512961014
29,29,0.22155091145417197
30,30,0.21270951707941882
31,31,0.20152164913115533
32,32,0.1919264961117969
33,33,0.18241220949075995
34,34,0.1739625894486975
35,35,0.16872491119383587
36,36,0.15845194027887827
37,37,0.14775881236992025
38,38,0.13897465547339155
39,39,0.1367581060445743
40,40,0.12642977275327758
41,41,0.12264612400672842
42,42,0.11518117102287911
43,43,0.1112219345599168
44,44,0.10400557534687617
45,45,0.09821794194648877
46,46,0.09463328320234932
47,47,0.08729484055961968
48,48,0.08338597843768518
49,49,0.08431122101515791
