,0,1
0,0,0.9627998844040901
1,1,0.9160054827793143
2,2,0.834977543537212
3,3,0.8195962922247185
4,4,0.7729349189534038
5,5,0.7333507401091536
6,6,0.730906268783474
7,7,0.64927396171122
8,8,0.6606806097366155
9,9,0.5903843124476199
10,10,0.5643425308304509
11,11,0.5564558544555708
12,12,0.5300694161733961
13,13,0.5045440371152895
14,14,0.46192003317835667
15,15,0.4363380927533831
16,16,0.4306655052437456
17,17,0.4133872712079183
18,18,0.36685760129991263
19,19,0.3866656230830297
20,20,0.3681098394037216
21,21,0.3327919623727178
22,22,0.32111668640146424
23,23,0.29325464024168385
24,24,0.28989721897436055
25,25,0.263744824205439
26,26,0.24758471417311748
27,27,0.24612098304589813
28,28,0.2585910141502605
29,29,0.2340655138157924
30,30,0.20969308602862835
31,31,0.20822675241263977
32,32,0.19124274519662945
33,33,0.19713288326245204
34,34,0.16934785836447927
35,35,0.16299922974511938
36,36,0.15661886738851086
37,37,0.15111487575864893
38,38,0.134508867606582
39,39,0.1435273386063077
40,40,0.1286082553851268
41,41,0.09061338721606607
42,42,0.11452729863635476
43,43,0.10870600606978403
44,44,0.10036215447985572
45,45,0.1010729568171632
46,46,0.09170820828951025
47,47,0.08454717470948395
48,48,0.05374886472347412
49,49,0.07003534846229104
